40.77.167.53 - - [16/Jan/2024:00:36:24 +0100] "GET /book/%D8%AB%D9%88%D8%B1%D8%A9%20%D8%A7%D9%84%D8%AD%D9%88%D8%B1 HTTP/2.0" 200 2794 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" "-"
40.77.167.62 - - [16/Jan/2024:01:19:11 +0100] "GET /book/??????%20???? HTTP/2.0" 404 198 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" "-"
66.249.79.36 - - [16/Jan/2024:02:25:14 +0100] "GET /robots.txt HTTP/1.1" 404 174 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
66.249.79.36 - - [16/Jan/2024:02:25:14 +0100] "GET /sitemap.xml HTTP/1.1" 404 174 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
205.210.31.80 - - [16/Jan/2024:05:52:15 +0100] "GET / HTTP/1.1" 200 13133 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com" "-"
40.77.167.25 - - [16/Jan/2024:10:17:09 +0100] "GET /category/%D8%B1%D9%88%D8%A7%D9%8A%D8%A7%D8%AA HTTP/2.0" 200 5203 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" "-"
173.252.83.117 - - [16/Jan/2024:11:26:02 +0100] "GET / HTTP/2.0" 200 13133 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "-"
173.252.87.9 - - [16/Jan/2024:11:29:07 +0100] "GET / HTTP/2.0" 200 13133 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "-"
31.13.103.119 - - [16/Jan/2024:11:32:45 +0100] "GET / HTTP/2.0" 200 13133 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "-"
69.171.231.4 - - [16/Jan/2024:11:40:35 +0100] "GET / HTTP/2.0" 200 13133 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "-"
52.167.144.238 - - [16/Jan/2024:13:28:21 +0100] "GET /static/images/books-tree.png HTTP/2.0" 200 4423365 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" "-"
